"Phenotype.Code"	"Phenotype.Description"	"UK.Biobank.Data.Showcase.Link"	"Sex"	"File"	"wget.command"	"AWS.File"	"Dropbox.File"	"md5s"
"50_irnt"	"Standing height"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=50"	"both_sexes"	"50_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/50_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 50_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/50_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/ou12jm89v74k55e/50_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"552d58ab4433a292e89b16b9e68f4845"
"30600_irnt"	"Albumin (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30600"	"both_sexes"	"30600_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30600_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30600_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30600_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/jp6basdg8vherih/30600_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30700_irnt"	"Creatinine (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30700"	"both_sexes"	"30700_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30700_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30700_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30700_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/n6xdh0149u0yoy0/30700_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30610_irnt"	"Alkaline phosphatase (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30610"	"both_sexes"	"30610_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30610_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30610_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30610_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/nettq481q7k5fj4/30610_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30620_irnt"	"Alanine aminotransferase (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30620"	"both_sexes"	"30620_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30620_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30620_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30620_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/9wt532jhheu0oe6/30620_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30650_irnt"	"Aspartate aminotransferase (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30650"	"both_sexes"	"30650_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30650_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30650_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30650_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/fyhv7xss9t17spb/30650_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30710_irnt"	"C-reactive protein (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30710"	"both_sexes"	"30710_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30710_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30710_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30710_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/4o9qs1s6jkrzrq7/30710_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30720_irnt"	"Cystatin C (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30720"	"both_sexes"	"30720_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30720_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30720_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30720_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/pm6rqxpfv1ip5lb/30720_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30730_irnt"	"Gamma glutamyltransferase (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30730"	"both_sexes"	"30730_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30730_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30730_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30730_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/fe58a7zpva6pbbp/30730_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30750_irnt"	"Glycated haemoglobin (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30750"	"both_sexes"	"30750_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30750_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30750_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30750_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/ebj2vjcrnr6hq6p/30750_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30770_irnt"	"IGF-1 (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30770"	"both_sexes"	"30770_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30770_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30770_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30770_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/6oqb0pacwapi6yg/30770_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30830_irnt"	"SHBG (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30830"	"both_sexes"	"30830_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30830_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30830_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30830_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/43kkvc7hvcq65l9/30830_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"30870_irnt"	"Triglycerides (quantile)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30870"	"both_sexes"	"30870_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30870_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz -O 30870_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30870_irnt.gwas.imputed_v3.both_sexes.varorder.tsv.bgz"	"https://www.dropbox.com/s/g9ijru6p6o1jxfi/30870_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"<pending>"
"2714"	"Age when periods started (menarche)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2714"	"both_sexes"	"2714.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/2714.gwas.imputed_v3.both_sexes.tsv.bgz -O 2714.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/2714.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/cu9nykqloygtl08/2714.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"a6e2c8bfd6af9d413a5044cf56d08460"
"2375"	"Relative age of first facial hair"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2375"	"both_sexes"	"2375.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/2375.gwas.imputed_v3.both_sexes.tsv.bgz -O 2375.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/2375.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/dykhqv1u452y3hr/2375.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"358dda431a516f6fcab2b5586a90dada"
